name,formula,neutralMass,CAS,logP,SMILES,InChIKey,sourceID,mz,rt,int10,comment,hasMS2,mzMS2,intMS2,preMS2
Carbamazepine,C15H12N2O,236.094955,298-46-4,0.79,c1ccc2c(c1)C=Cc3ccccc3N2C(=N)O,FFGPTBGBLSHEPO-UHFFFAOYSA-N,2457,237.102231,14.08,665026.4583,NA,TRUE,57.0710069780458;89.0373809996582;90.0451747032735;91.0539476340912;116.049038131046;117.055789514588;128.04983965868;133.911077380344;139.05290222421;151.052856735723;152.06191852786;164.060444368761;165.069428783818;166.064787907704;166.077137366139;167.072724670428;167.081316262266;167.086307254715;176.061288546241;177.070318031557;178.064528265525;179.073083297637;190.064667837971;191.073105446391;192.080188849114;193.087940141051;194.096400737853;195.099282441287;195.910467492748;220.071466216644;220.076034334557;237.102274495963,10.9718807765416;21.0842627485593;10.8694810413179;30.2552022025699;42.7192026206425;20.14607720148;11.3101108187721;13.193705309005;29.3960400763012;24.5051641804831;64.2139470009577;11.1793445405506;255.243357817332;26.191013563247;31.5428113029117;67.8821229480562;25.5116237458729;12.4662192208426;27.363366717384;27.3868529001872;70.6095655305045;441.10056636447;68.6577700206212;192.45917346364;684.271541322981;783.962657037236;2310.06275867281;17.4272516114371;19.0288918358939;14.6901831853957;16.0408791019803;972.305109296526,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Terbutryn,C10H19N5S,241.1361,886-50-0,3.74,CC/N=c\1/nc([nH]c(n1)SC)NC(C)(C)C,IROINLKCQGIITA-UHFFFAOYSA-N,12874,242.143376,14.84,3011202,NA,TRUE,41.0392708566806;43.0293122598792;44.0489625457745;46.9947948080473;49.0113904813044;57.0698564115154;68.0245278767382;70.0403372079401;71.0604049436086;74.0059539272867;85.0505389082441;91.0322195675791;96.0555182411712;102.036524728757;110.046024761716;113.08156648093;116.02724199701;138.077172327352;144.058656425685;158.048359486152;186.080822572837;186.142921130389;186.170392071686;187.07694145856;187.08492228531;242.143752489259;242.215639870218;243.146554818997,35.3270555904933;1017.40032747814;14.9734877177647;23.6895831425985;13.8681032317025;208.10972171738;1944.57702606065;11.0908735366095;1071.02808232534;579.371475815773;291.935451462155;896.522235254447;858.536943038305;33.7258608000619;182.108831746238;91.8586507155782;517.977901890164;281.884531713667;221.491335250082;249.210946775618;6997.30307823136;51.4865074271247;26.714873288359;12.6285575912112;19.2415811220805;4544.2226155599;20.7287441265015;19.5506373303277,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Clarithromycin,C38H69NO13,747.476868,81103-11-9,1.66,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,AGOYDEPGAOXOCK-KCBOHYOISA-N,10342604,748.484144,14.94,1168046.208,NA,TRUE,41.0388978108271;43.0178605867617;44.0495615828907;45.0335434783503;46.0656375913254;55.0540828442897;58.0651112340091;59.0485123102798;72.0806222889975;73.0639270997111;81.0699207870769;83.0492732830717;84.0803454074528;87.0439429590476;88.0755499952621;95.0494423530078;98.0959656756611;99.0803180004378;100.075465090126;109.063539976221;113.059604425873;114.089999271088;115.074001838291;116.069836179162;116.106809669847;121.101016887164;123.080271356478;127.075456521637;128.106238698542;158.117737478214;158.16997449272;158.17509056888;159.118631886414;159.122294076893;176.126930681045;190.144311094937;284.184895673257;316.208868189234;316.214198078966;365.235541195506;558.360303482722;558.365189065156;558.370474224175;590.390892998014;591.391030035711;591.395083339055;748.48516610784;749.484053642137;749.488662090885;749.494486705903,98.7313390043047;13.4996398819817;26.682103395462;28.1573932965597;77.0151654349433;58.7939355373383;38.6599158181085;38.7246779733234;281.517381138272;22.3687524795532;28.232586880525;1731.91261789534;15.0278213421504;44.8130895429187;93.5865522887972;11.2881491978963;495.950077321794;19.8528608745999;102.111047003004;13.8421311378479;353.334691047668;48.8314550717672;27.9636160532633;628.34169181188;849.533772998386;13.7699701521132;43.4073591762119;122.627359999551;11.1894068717957;4918.93668958876;13.371874054273;24.0077720615599;41.7677179906103;22.6352764368057;21.6958383719126;14.5538593928019;12.7313275867038;13.8460863961114;22.8584580421448;15.8440905941857;151.135398281945;156.422165022956;21.5839369297028;1889.46079391903;78.0466845300462;35.3286602232191;2518.78575897217;47.179795689053;66.1835352049933;24.9542980194092,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
Losartan,C22H23ClN6O,422.1622,114798-26-4,4.64,CCCCc1nc(c(n1Cc2ccc(cc2)c3ccccc3c4[nH]nnn4)CO)Cl,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,3824,423.169476,15.04,616894.75,NA,TRUE,77.0372946284009;79.0536522962631;80.0491946109697;140.047261810105;142.027593768439;142.031595011122;151.052902677531;152.060923354198;153.068753096683;165.06912281578;167.07237009796;171.067755597852;178.064046658295;178.072585334298;178.078136489742;179.07202395447;180.080737959402;181.082329595711;190.063675648504;191.071358854407;192.066749370091;192.07501444374;192.080453862495;205.075786667084;206.083689823769;207.091996775146;214.064747872162;235.095621143602;235.099383287146;241.075012985572;258.099041893314;258.104692042414;281.094088587226;282.100190096686;294.078037939787;324.14867070257;341.172115662167;341.176805617455;362.137113047961;362.143794025769;377.153694490815;405.159527142798;423.165692030666;423.169980834581,32.1420215765635;39.6106645947411;12.9367595911026;20.6180701255798;37.4068470114753;28.2096141633533;16.887201944987;50.1066988309224;96.8633555911836;63.1674786408742;55.5017659947986;288.21081116086;103.632776419322;22.3600180943807;17.4948770318713;85.8654723167419;507.587193477721;22.4441733587356;214.748697524979;22.0955243451255;44.5063416617257;29.7233069283622;287.60393844332;217.160323954764;434.367350771314;2482.64695957729;33.3629901636214;102.709183125269;85.9253332614899;79.8825771922157;46.3820655771664;31.8645113876888;26.1752099536714;16.0750189962841;21.8938546975454;30.2236420994713;35.8577675280117;107.444364252545;12.163280804952;90.6743920076461;750.061761583601;680.780759175619;22.9625174204508;90.1570965449015,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Candesartan,C24H20N6O3,440.1597,139481-59-7,4.79,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,HTQMVQVXFRQIKW-UHFFFAOYSA-N,2445,441.166976,15.27,292179.8438,NA,TRUE,80.049016384476;140.049371211662;152.061075972389;153.068695317845;161.032614856517;163.053668682484;165.069462804816;167.073009093769;167.083545032587;173.033877536244;177.069755380994;178.076619136163;179.072194224902;180.080371350517;189.06277376436;190.06519061415;191.044445293446;191.072068602308;192.080427932732;193.084484528415;193.088644317208;194.095380208078;194.100710555351;205.075968350174;206.082970056459;207.091033779085;207.094458980886;208.10824941888;208.113586235279;217.089379562829;218.096216848228;219.090347498417;220.09841251259;233.107683885927;234.113681224677;234.117693655609;235.096526159851;235.122355988684;263.12941688892;308.116764626961;309.099194749703;309.103429380884;337.099669515362;338.103965347339;338.107880057678;348.098418380722;349.106809442834;349.112789639533;350.088159198936;350.09291515095;350.097422462517;352.106860758884;352.111155773675;367.11540834586;380.137900154745;395.146290992381;395.150571315461;395.154863811834;423.155991220889,10.6016358534495;25.4519140379769;49.9097099077134;125.271145797911;81.1490252812703;19.4167478879293;261.027294476827;10.4498457113902;37.1324140912011;17.6107689539591;21.0855942680722;214.640540543057;51.890085992359;328.009369134903;66.1606878666651;306.800953603926;11.0670262291318;145.086907273247;601.27093567167;14.4149989173526;143.682145482018;302.727186509541;12.2330096562703;98.4961487452189;226.565949116434;704.045341037569;32.5899251302083;51.3547439688728;24.474765312104;15.7489387194316;38.7016224407014;68.2261402947562;104.25980246067;37.9285988921211;54.2366637956528;47.5686309224083;176.535138470786;387.878791354951;1390.13778828439;37.142315864563;22.8198250248319;58.4632059846606;13.2329904238383;192.903266691026;59.8559729258219;13.6101586023966;65.1280249300457;17.8368844531831;52.1551526046935;80.8493211382911;19.6507620811462;259.428658258347;41.2819593293326;10.6696135997772;85.3641477085295;28.7814337412516;256.270112083072;10.9913867314657;727.218628474644,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Isoproturon,C12H18N2O,206.1419,34123-59-6,2.87,CC(C)c1ccc(cc1)NC(=O)N(C)C,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,33695,207.149176,15.54,2130726.75,NA,TRUE,41.0389477012151;42.0340446426923;43.0541772765715;44.0497396192935;46.0654788293922;56.0131165529934;65.0390939294329;72.0447014692299;72.0789632423866;72.0824947888194;77.0383154914928;79.0548344079961;91.0538954931167;92.0487914127433;105.069742039806;107.085755024578;115.053454867199;117.069404314387;118.064920660642;119.073078079695;120.043760336327;134.09554061301;162.091333741459;165.101773726149;207.149513169508,32.603997366769;36.1898503700892;54.7830517064957;83.3779253051394;1838.21777979533;66.9663923808506;19.7887527715592;4457.47880917504;14.9609405653817;30.3026479993548;64.2195248490288;14.1614244551886;141.432971852166;27.5495836734772;21.979098092942;50.5838494300842;18.9933227811541;21.3943057060242;32.379681019556;56.8981562682561;14.0620186215355;85.9116422846204;25.6817037491571;368.157413346427;1419.26663898286,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Diuron,C9H10Cl2N2O,232.017014,330-54-1,2.68,CN(C)C(O)=NC1C=C(Cl)C(Cl)=CC=1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,3008,233.02429,15.68,335039.2188,NA,TRUE,44.0492627874325;46.065375832498;56.0131799560651;72.0444620077012;108.983672369322;132.959715606297;144.958608426523;159.969810942206;187.966091299274;233.0240167956,39.6328699929374;627.619953246344;35.056475457691;1790.37992677234;20.7261382965814;39.2056092307681;13.1356060618446;57.058311916533;23.0017983572824;372.003757658459,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
